state_code,state,financial_year,direction,value,signed_value
QLD,Queensland,2023-24,Departures,5350,-5350
QLD,Queensland,2024-25,Arrivals,21950,21950
QLD,Queensland,2024-25,Departures,8320,-8320
SA,South Australia,2004-05,Arrivals,4160,4160
SA,South Australia,2004-05,Departures,1070,-1070
SA,South Australia,2005-06,Arrivals,4670,4670
SA,South Australia,2005-06,Departures,1430,-1430
SA,South Australia,2006-07,Arrivals,6080,6080
SA,South Australia,2006-07,Departures,1580,-1580
SA,South Australia,2007-08,Arrivals,7170,7170
SA,South Australia,2007-08,Departures,1710,-1710
SA,South Australia,2008-09,Arrivals,9390,9390
SA,South Australia,2008-09,Departures,1880,-1880
SA,South Australia,2009-10,Arrivals,7100,7100
SA,South Australia,2009-10,Departures,2510,-2510
SA,South Australia,2010-11,Arrivals,4930,4930
SA,South Australia,2010-11,Departures,2980,-2980
SA,South Australia,2011-12,Arrivals,4850,4850
SA,South Australia,2011-12,Departures,2980,-2980
SA,South Australia,2012-13,Arrivals,5210,5210
SA,South Australia,2012-13,Departures,2920,-2920
SA,South Australia,2013-14,Arrivals,6640,6640
SA,South Australia,2013-14,Departures,3020,-3020
SA,South Australia,2014-15,Arrivals,7100,7100
SA,South Australia,2014-15,Departures,2990,-2990
SA,South Australia,2015-16,Arrivals,7420,7420
SA,South Australia,2015-16,Departures,2980,-2980
SA,South Australia,2016-17,Arrivals,7500,7500
SA,South Australia,2016-17,Departures,3050,-3050
SA,South Australia,2017-18,Arrivals,7790,7790
SA,South Australia,2017-18,Departures,2820,-2820
SA,South Australia,2018-19,Arrivals,8680,8680
SA,South Australia,2018-19,Departures,2930,-2930
SA,South Australia,2019-20,Arrivals,7700,7700
SA,South Australia,2019-20,Departures,5260,-5260
SA,South Australia,2020-21,Arrivals,80,80
SA,South Australia,2020-21,Departures,2600,-2600
SA,South Australia,2021-22,Arrivals,9050,9050
SA,South Australia,2021-22,Departures,1370,-1370
SA,South Australia,2022-23,Arrivals,16440,16440
SA,South Australia,2022-23,Departures,840,-840
SA,South Australia,2023-24,Arrivals,12280,12280
SA,South Australia,2023-24,Departures,1420,-1420
SA,South Australia,2024-25,Arrivals,8930,8930
SA,South Australia,2024-25,Departures,1970,-1970
WA,Western Australia,2004-05,Arrivals,5710,5710
WA,Western Australia,2004-05,Departures,2160,-2160
WA,Western Australia,2005-06,Arrivals,5670,5670
WA,Western Australia,2005-06,Departures,2670,-2670
WA,Western Australia,2006-07,Arrivals,7290,7290
WA,Western Australia,2006-07,Departures,2500,-2500
WA,Western Australia,2007-08,Arrivals,10290,10290
WA,Western Australia,2007-08,Departures,2210,-2210
WA,Western Australia,2008-09,Arrivals,12610,12610
WA,Western Australia,2008-09,Departures,2660,-2660
WA,Western Australia,2009-10,Arrivals,9370,9370
WA,Western Australia,2009-10,Departures,3590,-3590
WA,Western Australia,2010-11,Arrivals,6780,6780
WA,Western Australia,2010-11,Departures,3970,-3970
WA,Western Australia,2011-12,Arrivals,6470,6470
WA,Western Australia,2011-12,Departures,3590,-3590
WA,Western Australia,2012-13,Arrivals,7360,7360
WA,Western Australia,2012-13,Departures,3370,-3370
WA,Western Australia,2013-14,Arrivals,8970,8970
WA,Western Australia,2013-14,Departures,3730,-3730
WA,Western Australia,2014-15,Arrivals,9280,9280
WA,Western Australia,2014-15,Departures,3680,-3680
WA,Western Australia,2015-16,Arrivals,10330,10330
WA,Western Australia,2015-16,Departures,3720,-3720
WA,Western Australia,2016-17,Arrivals,10040,10040
WA,Western Australia,2016-17,Departures,3830,-3830
WA,Western Australia,2017-18,Arrivals,8920,8920
WA,Western Australia,2017-18,Departures,3960,-3960
WA,Western Australia,2018-19,Arrivals,10700,10700
WA,Western Australia,2018-19,Departures,3930,-3930
WA,Western Australia,2019-20,Arrivals,8490,8490
WA,Western Australia,2019-20,Departures,4150,-4150
WA,Western Australia,2020-21,Arrivals,80,80
WA,Western Australia,2020-21,Departures,2430,-2430
WA,Western Australia,2021-22,Arrivals,7530,7530
WA,Western Australia,2021-22,Departures,1540,-1540
WA,Western Australia,2022-23,Arrivals,30330,30330
WA,Western Australia,2022-23,Departures,830,-830
WA,Western Australia,2023-24,Arrivals,24880,24880
WA,Western Australia,2023-24,Departures,1690,-1690
WA,Western Australia,2024-25,Arrivals,15230,15230
WA,Western Australia,2024-25,Departures,2930,-2930
TAS,Tasmania,2004-05,Arrivals,690,690
TAS,Tasmania,2004-05,Departures,210,-210
TAS,Tasmania,2005-06,Arrivals,720,720
TAS,Tasmania,2005-06,Departures,280,-280
TAS,Tasmania,2006-07,Arrivals,850,850
TAS,Tasmania,2006-07,Departures,290,-290
TAS,Tasmania,2007-08,Arrivals,1010,1010
TAS,Tasmania,2007-08,Departures,310,-310
TAS,Tasmania,2008-09,Arrivals,1050,1050
TAS,Tasmania,2008-09,Departures,330,-330
TAS,Tasmania,2009-10,Arrivals,930,930
TAS,Tasmania,2009-10,Departures,440,-440
TAS,Tasmania,2010-11,Arrivals,710,710
TAS,Tasmania,2010-11,Departures,490,-490
TAS,Tasmania,2011-12,Arrivals,850,850
TAS,Tasmania,2011-12,Departures,490,-490
TAS,Tasmania,2012-13,Arrivals,820,820
TAS,Tasmania,2012-13,Departures,500,-500
TAS,Tasmania,2013-14,Arrivals,960,960
TAS,Tasmania,2013-14,Departures,480,-480
TAS,Tasmania,2014-15,Arrivals,1410,1410
TAS,Tasmania,2014-15,Departures,540,-540
TAS,Tasmania,2015-16,Arrivals,1280,1280
TAS,Tasmania,2015-16,Departures,380,-380
TAS,Tasmania,2016-17,Arrivals,1310,1310
TAS,Tasmania,2016-17,Departures,380,-380
TAS,Tasmania,2017-18,Arrivals,1600,1600
TAS,Tasmania,2017-18,Departures,410,-410
TAS,Tasmania,2018-19,Arrivals,1700,1700
TAS,Tasmania,2018-19,Departures,550,-550
TAS,Tasmania,2019-20,Arrivals,1140,1140
TAS,Tasmania,2019-20,Departures,990,-990
TAS,Tasmania,2020-21,Arrivals,30,30
TAS,Tasmania,2020-21,Departures,370,-370
TAS,Tasmania,2021-22,Arrivals,1320,1320
TAS,Tasmania,2021-22,Departures,210,-210
TAS,Tasmania,2022-23,Arrivals,1990,1990
TAS,Tasmania,2022-23,Departures,130,-130
TAS,Tasmania,2023-24,Arrivals,1500,1500
TAS,Tasmania,2023-24,Departures,170,-170
TAS,Tasmania,2024-25,Arrivals,710,710
TAS,Tasmania,2024-25,Departures,190,-190
NT,Northern Territory,2004-05,Arrivals,120,120
NT,Northern Territory,2004-05,Departures,60,-60
NT,Northern Territory,2005-06,Arrivals,140,140
NT,Northern Territory,2005-06,Departures,40,-40
NT,Northern Territory,2006-07,Arrivals,210,210
NT,Northern Territory,2006-07,Departures,70,-70
NT,Northern Territory,2007-08,Arrivals,260,260
NT,Northern Territory,2007-08,Departures,70,-70
NT,Northern Territory,2008-09,Arrivals,330,330
NT,Northern Territory,2008-09,Departures,50,-50
NT,Northern Territory,2009-10,Arrivals,320,320
NT,Northern Territory,2009-10,Departures,80,-80
NT,Northern Territory,2010-11,Arrivals,230,230
NT,Northern Territory,2010-11,Departures,100,-100
NT,Northern Territory,2011-12,Arrivals,330,330
NT,Northern Territory,2011-12,Departures,90,-90
NT,Northern Territory,2012-13,Arrivals,390,390
NT,Northern Territory,2012-13,Departures,100,-100
NT,Northern Territory,2013-14,Arrivals,480,480
NT,Northern Territory,2013-14,Departures,120,-120
NT,Northern Territory,2014-15,Arrivals,580,580
NT,Northern Territory,2014-15,Departures,130,-130
NT,Northern Territory,2015-16,Arrivals,650,650
NT,Northern Territory,2015-16,Departures,130,-130
NT,Northern Territory,2016-17,Arrivals,620,620
NT,Northern Territory,2016-17,Departures,170,-170
NT,Northern Territory,2017-18,Arrivals,440,440
NT,Northern Territory,2017-18,Departures,120,-120
NT,Northern Territory,2018-19,Arrivals,550,550
NT,Northern Territory,2018-19,Departures,120,-120
NT,Northern Territory,2019-20,Arrivals,380,380
NT,Northern Territory,2019-20,Departures,130,-130
NT,Northern Territory,2020-21,Arrivals,30,30
NT,Northern Territory,2020-21,Departures,70,-70
NT,Northern Territory,2021-22,Arrivals,640,640
NT,Northern Territory,2021-22,Departures,80,-80
