continent,x0,x1,y0,y1,x_mid,y_mid,continent_students,continent_share,continent_label
Asia,0,100.0,0,85.2084,50.0,42.6042,481926,0.8521,Asia (85.2%)
Americas,0,100.0,85.2084,93.8835,50.0,89.546,49065,0.0868,Americas (8.7%)
Europe,0,100.0,93.8835,96.8731,50.0,95.3783,16909,0.0299,Europe (3.0%)
Africa,0,100.0,96.8731,99.2083,50.0,98.0407,13207,0.0234,Africa (2.3%)
Oceania,0,100.0,99.2083,100.0,50.0,99.6041,4478,0.0079,Oceania (0.8%)
