state_code,state,financial_year,student_arrivals,student_departures,net_student_migration
NT,Northern Territory,2018-19,550,120,430
NT,Northern Territory,2019-20,380,130,250
NT,Northern Territory,2020-21,30,70,-40
NT,Northern Territory,2021-22,640,80,560
NT,Northern Territory,2022-23,1580,50,1530
NT,Northern Territory,2023-24,1150,50,1100
NT,Northern Territory,2024-25,970,80,890
ACT,Australian Capital Territory,2004-05,1150,530,620
ACT,Australian Capital Territory,2005-06,1280,730,550
ACT,Australian Capital Territory,2006-07,1610,730,880
ACT,Australian Capital Territory,2007-08,1940,750,1190
ACT,Australian Capital Territory,2008-09,2370,830,1540
ACT,Australian Capital Territory,2009-10,2470,1100,1370
ACT,Australian Capital Territory,2010-11,1990,1310,680
ACT,Australian Capital Territory,2011-12,2260,1620,640
ACT,Australian Capital Territory,2012-13,2430,1660,770
ACT,Australian Capital Territory,2013-14,3070,1720,1350
ACT,Australian Capital Territory,2014-15,3320,1540,1780
ACT,Australian Capital Territory,2015-16,3410,1530,1880
ACT,Australian Capital Territory,2016-17,3960,1630,2330
ACT,Australian Capital Territory,2017-18,4350,1770,2580
ACT,Australian Capital Territory,2018-19,3330,2380,950
ACT,Australian Capital Territory,2019-20,2170,3270,-1100
ACT,Australian Capital Territory,2020-21,70,1920,-1850
ACT,Australian Capital Territory,2021-22,3670,750,2920
ACT,Australian Capital Territory,2022-23,5980,590,5390
ACT,Australian Capital Territory,2023-24,4330,1230,3100
ACT,Australian Capital Territory,2024-25,3770,1710,2060
